Color,Sample,Raw_R,Raw_G,Raw_B,Norm_R,Norm_G,Norm_B
RED,1,2451.07,542.17,792.76,0.590,0.155,0.194
RED,2,2461.17,543.92,794.53,0.592,0.155,0.195
RED,3,2461.83,544.16,795.01,0.592,0.155,0.195
RED,4,2464.71,544.46,795.35,0.593,0.155,0.195
RED,5,2467.72,545.13,796.11,0.594,0.155,0.195
GREEN,1,1258.86,1713.35,923.12,0.303,0.488,0.226
GREEN,2,1260.92,1715.18,920.07,0.303,0.489,0.226
GREEN,3,1262.07,1714.93,921.00,0.304,0.489,0.226
GREEN,4,1261.55,1714.18,920.65,0.304,0.489,0.226
GREEN,5,1261.57,1713.99,920.73,0.304,0.489,0.226
BLUE,1,963.60,768.51,1736.00,0.232,0.219,0.426
BLUE,2,960.43,767.31,1734.48,0.231,0.219,0.425
BLUE,3,959.97,766.67,1734.27,0.231,0.219,0.425
BLUE,4,960.12,766.99,1733.96,0.231,0.219,0.425
BLUE,5,960.28,767.50,1734.11,0.231,0.219,0.425
BLACK,1,298.32,236.28,293.17,0.072,0.067,0.072
BLACK,2,293.21,235.35,294.10,0.071,0.067,0.072
BLACK,3,293.04,235.64,293.79,0.071,0.067,0.072
BLACK,4,293.76,235.85,294.11,0.071,0.067,0.072
BLACK,5,293.59,235.92,294.19,0.071,0.067,0.072
WHITE,1,4193.98,3418.91,3954.94,1.009,0.975,0.969
WHITE,2,4186.01,3422.16,3959.86,1.007,0.976,0.971
WHITE,3,4199.09,3432.72,3968.30,1.011,0.979,0.973
WHITE,4,4200.47,3436.30,3971.93,1.011,0.980,0.974
WHITE,5,4199.14,3434.88,3968.28,1.011,0.979,0.973
